name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kharkiv,2025-01-20,33.2,26.6,30.1,33.2,17,23.2,28.2,92.6,0,0,0,,0,0,23,15.7,326.9,1019.7,64.9,6.1,28.9,2.6,1,,2025-01-20T07:23:17,2025-01-20T16:09:35,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-21,33.2,27.5,31.2,33.2,20.3,27.9,26.2,81.8,0.012,100,4.17,"rain,snow",0,0.1,12.8,6.7,84.6,1026.9,89.3,6.2,39.5,3.4,2,,2025-01-21T07:22:16,2025-01-21T16:11:10,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-22,33.1,24.8,28,24.6,14.7,19.3,20.4,73.8,0,0,0,,0,0,28,13.4,130.6,1027,78.3,6.2,34.5,3,2,,2025-01-22T07:21:13,2025-01-22T16:12:47,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-23,29.9,24.7,26.5,29.9,14,18.2,20.1,77.3,0,0,0,,0,0,19.2,11.2,126,1022.1,92.8,6.1,24.3,2.1,1,,2025-01-23T07:20:07,2025-01-23T16:14:25,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-24,32.2,26.6,29,31.7,18.4,22.5,27.6,94.7,0.036,100,8.33,"rain,snow",0.3,0.1,12.1,8.9,105.2,1020.8,99.5,3.8,17,1.5,1,,2025-01-24T07:18:59,2025-01-24T16:16:03,0.84,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-25,36.7,28.4,32.6,36.7,22.3,29.4,31.3,94.9,0.004,100,4.17,snow,0,0,9.8,7.8,128.7,1024.5,100,3.6,22.8,2,1,,2025-01-25T07:17:48,2025-01-25T16:17:42,0.87,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-26,43,33.8,37.7,39.8,27.9,32.8,37,97.3,0.004,100,4.17,rain,0,0,18.3,12.2,188.7,1025.8,87.4,2.4,18.1,1.6,1,,2025-01-26T07:16:35,2025-01-26T16:19:22,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-27,39.2,34.7,37.2,34.5,25.2,30.3,36.4,97.1,0.004,100,4.17,"rain,snow",0,0,24.6,15.6,183.1,1022.1,100,3.5,16.3,1.5,1,,2025-01-27T07:15:20,2025-01-27T16:21:03,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-28,41.2,33.8,37.9,38.3,25.9,32.3,37,96.7,0.008,100,8.33,rain,0,0,20.4,10.1,162.8,1020.7,96.7,4.2,25.9,2.3,1,,2025-01-28T07:14:03,2025-01-28T16:22:44,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-29,40.2,35.6,37.9,39.8,28.7,32.5,37.1,97.1,0,0,0,,0,0,19.9,11.2,147.4,1020.8,96,3.2,32,2.6,2,,2025-01-29T07:12:43,2025-01-29T16:24:25,0,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-30,43.7,38.3,41,43.7,33.2,39.3,39.2,93.3,0.004,100,4.17,rain,0,0,13.2,6.7,150.5,1025,100,2.6,25.4,2.2,1,,2025-01-30T07:11:22,2025-01-30T16:26:07,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-31,41,37.4,38.7,41,30.4,35.5,38.4,98.8,0,0,0,,0,0,15.2,10.1,74.7,1027.3,95.9,0.3,29.2,2.5,1,,2025-01-31T07:09:58,2025-01-31T16:27:50,0.07,Overcast,Cloudy skies throughout the day.,fog,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
